_date,total_clones,unique_clones
2023-11-24,1,1
2023-11-26,1,1
2023-11-27,19,10
2023-11-28,1,1
2023-12-03,1,1
2023-12-04,3,3
2023-12-06,1,1
2023-12-08,1,1
2023-12-09,1,1
2023-12-11,1,1
2023-12-14,1,1
2023-12-21,1,1
2023-12-23,2,2
2023-12-26,1,1
2023-12-28,2,1
2023-12-30,4,2
2024-01-01,1,1
2024-01-04,3,1
2024-01-06,2,1
2024-01-07,1,1
2024-01-10,1,1
2024-01-11,1,1
2024-01-12,1,1
2024-01-13,1,1
2024-01-14,2,2
2024-01-17,1,1
2024-01-21,1,1
2024-01-23,2,1
2024-01-24,7,4
2024-01-26,9,6
2024-01-28,2,2
2024-01-29,2,2
2024-01-30,2,1
2024-02-05,1,1
2024-02-06,1,1
2024-02-22,1,1
